StudentID,Sex,Date,Subject,Grade,Attendence,pred_grade
173,M,2009-01,inf63,38,4,58.49403950229764
173,M,2009-02,inf63,97,6,46.987997835497836
312,M,2010-02,inf63,45,4,58.49403950229764
889,M,2009-02,gem03,0,0,61.89409798534799
890,F,2009-02,gem03,88,3,61.34290154290155
405,F,2017-02,ggi017,3,34,1.285
304,M,2010-02,inf63,41,0,54.533639119402004
595,M,2013-02,gsi005,41,0,49.49473075488123
595,M,2013-01,gsi005,20,2,57.25812800476755
80,M,2011-01,gsi014,22,8,55.38188672438673
80,M,2010-02,inf63,40,8,38.80537851037851
80,M,2011-02,gsi014,77,14,52.84895104895105
520,M,2015-02,gsi037,0,60,0.0
249,M,2011-01,facom49010,89,7,81.93333333333332
315,M,2010-02,inf63,60,2,46.289759679940985
247,F,2011-01,facom49010,63,3,75.80555555555556
245,M,2011-01,facom49010,0,37,1.2
232,M,2011-01,facom49010,97,0,82.40673425430779
313,M,2010-02,inf63,0,22,5.333333333333333
233,M,2011-01,facom49010,93,0,82.40673425430779
253,M,2011-01,facom49010,82,0,82.40673425430779
252,M,2011-01,facom49010,96,4,63.457424242424246
1012,M,2013-02,gsi015,9,36,7.55
237,M,2011-01,facom49010,90,1,75.78333333333333
236,M,2011-01,facom49010,70,1,75.78333333333333
309,M,2010-02,inf63,60,2,46.289759679940985
795,M,2014-01,gsi015,70,6,55.489641517263635
795,M,2013-01,gsi005,74,0,49.49473075488123
308,M,2010-02,inf63,60,4,58.49403950229764
829,M,2013-01,gsi005,6,30,7.593333333333334
703,M,2014-02,gsi015,60,4,62.1510829962276
703,M,2013-01,gsi005,60,2,57.25812800476755
226,M,2011-01,facom49010,40,2,67.2136507936508
225,M,2011-01,facom49010,75,0,82.40673425430779
224,M,2011-01,facom49010,84,0,82.40673425430779
339,M,2011-02,gsi014,40,6,44.032448107448104
65,M,2011-01,gsi014,50,0,57.604094058676104
161,M,2009-01,inf63,68,0,54.533639119402004
228,M,2011-01,facom49010,98,0,82.40673425430779
227,M,2011-01,facom49010,69,0,82.40673425430779
498,M,2015-02,gsi015,74,10,43.55887315883291
498,M,2015-01,gsi015,50,4,62.1510829962276
498,M,2013-01,gsi005,60,2,57.25812800476755
538,M,2015-02,gsi037,84,4,75.80999999999999
231,M,2011-01,facom49010,85,2,67.2136507936508
818,M,2013-01,gsi005,67,6,41.04712933995829
