Unknown1,Sex,Date,Subject,Grade,Unknown2
173,M,2009-01,inf63,38,4
173,M,2009-02,inf63,97,6
312,M,2010-02,inf63,45,4
889,M,2009-02,gem03,0,0
890,F,2009-02,gem03,88,3
405,F,2017-02,ggi017,3,34
304,M,2010-02,inf63,41,0
595,M,2013-02,gsi005,41,0
595,M,2013-01,gsi005,20,2
80,M,2011-01,gsi014,22,8
80,M,2010-02,inf63,40,8
80,M,2011-02,gsi014,77,14
520,M,2015-02,gsi037,0,60
249,M,2011-01,facom49010,89,7
315,M,2010-02,inf63,60,2
247,F,2011-01,facom49010,63,3
245,M,2011-01,facom49010,0,37
232,M,2011-01,facom49010,97,0
313,M,2010-02,inf63,0,22
233,M,2011-01,facom49010,93,0
253,M,2011-01,facom49010,82,0
252,M,2011-01,facom49010,96,4
1012,M,2013-02,gsi015,9,36
237,M,2011-01,facom49010,90,1
236,M,2011-01,facom49010,70,1
309,M,2010-02,inf63,60,2
795,M,2014-01,gsi015,70,6
795,M,2013-01,gsi005,74,0
308,M,2010-02,inf63,60,4
829,M,2013-01,gsi005,6,30
703,M,2014-02,gsi015,60,4
703,M,2013-01,gsi005,60,2
226,M,2011-01,facom49010,40,2
225,M,2011-01,facom49010,75,0
224,M,2011-01,facom49010,84,0
339,M,2011-02,gsi014,40,6
65,M,2011-01,gsi014,50,0
161,M,2009-01,inf63,68,0
228,M,2011-01,facom49010,98,0
227,M,2011-01,facom49010,69,0
498,M,2015-02,gsi015,74,10
498,M,2015-01,gsi015,50,4
498,M,2013-01,gsi005,60,2
538,M,2015-02,gsi037,84,4
231,M,2011-01,facom49010,85,2
818,M,2013-01,gsi005,67,6
230,M,2011-01,facom49010,82,0
500,M,2015-02,gsi015,60,14
500,M,2015-01,gsi015,43,8
500,M,2013-01,gsi005,60,2
229,M,2011-01,facom49010,95,1
310,M,2010-02,inf63,60,4
840,M,2013-01,gsi005,0,38
212,M,2011-01,facom49010,60,4
824,M,2013-01,gsi005,60,4
837,M,2013-01,gsi005,36,2
235,M,2011-01,facom49010,60,0
234,M,2011-01,facom49010,3,13
220,M,2011-01,facom49010,26,12
213,F,2011-01,facom49010,33,0
250,M,2011-01,facom49010,33,0
436,M,2017-02,ggi005,10,26
805,M,2014-01,gsi015,81,4
805,M,2013-01,gsi005,70,0
246,M,2011-01,facom49010,90,0
443,M,2017-02,ggi005,19,22
616,M,2013-02,gsi005,29,4
616,M,2013-01,gsi005,40,12
244,M,2011-01,facom49010,47,4
832,F,2013-01,gsi005,29,10
243,M,2011-01,facom49010,61,4
807,M,2014-01,gsi015,76,0
807,M,2013-01,gsi005,71,2
702,M,2014-02,gsi015,81,2
702,M,2013-01,gsi005,60,4
800,M,2014-01,gsi015,14,10
800,M,2015-01,gsi015,60,10
800,M,2013-01,gsi005,60,8
510,M,2015-02,gsi015,0,46
510,M,2013-01,gsi005,38,16
433,M,2017-02,ggi005,0,22
586,M,2013-02,gsi005,30,0
586,M,2013-01,gsi005,36,16
794,M,2014-01,gsi015,85,4
794,M,2013-01,gsi005,73,0
238,M,2011-01,facom49010,0,45
825,M,2013-01,gsi005,60,0
248,M,2011-01,facom49010,70,0
241,F,2011-01,facom49010,44,5
240,M,2011-01,facom49010,91,0
920,M,2009-02,gem03,0,0
239,M,2011-01,facom49010,8,30
844,M,2013-01,gsi005,29,8
705,M,2014-02,gsi015,76,8
705,M,2013-01,gsi005,60,2
831,M,2013-01,gsi005,7,18
256,F,2011-01,facom49010,69,6
704,M,2014-02,gsi015,63,5
704,M,2013-01,gsi005,63,6
458,M,2016-02,ggi017,68,2
836,F,2013-01,gsi005,50,4
785,M,2014-01,gsi015,28,22
785,M,2013-01,gsi005,38,6
796,M,2014-01,gsi015,83,4
796,M,2013-01,gsi005,84,0
826,M,2013-01,gsi005,3,52
489,M,2015-02,gsi015,60,4
489,M,2015-01,gsi015,25,6
816,F,2013-01,gsi005,47,4
802,M,2014-01,gsi015,87,0
802,M,2013-01,gsi005,69,2
819,F,2013-01,gsi005,49,4
251,M,2011-01,facom49010,0,20
838,M,2013-01,gsi005,67,12
787,M,2014-01,gsi015,0,54
787,M,2013-01,gsi005,63,4
797,M,2014-01,gsi015,86,6
797,M,2013-01,gsi005,80,4
789,M,2014-01,gsi015,0,6
789,M,2013-01,gsi005,44,0
806,M,2014-01,gsi015,71,4
806,M,2013-01,gsi005,75,0
450,M,2016-02,ggi017,5,16
851,M,2013-01,gsi015,62,0
906,M,2009-02,gem03,27,34
916,M,2009-02,gem03,0,0
833,M,2013-01,gsi005,47,0
103,M,2016-02,gsi015,0,10
404,M,2017-02,ggi017,11,20
463,M,2016-02,ggi017,18,6
255,M,2011-01,facom49010,65,0
254,F,2011-01,facom49010,38,10
713,M,2014-02,facom49010,42,0
715,F,2014-02,facom49010,50,4
242,F,2011-01,facom49010,14,4
421,F,2017-02,ggi005,11,16
437,F,2017-02,ggi005,12,12
821,M,2013-01,gsi005,56,4
416,M,2017-02,ggi017,73,10
440,F,2017-02,ggi005,12,24
710,M,2014-02,facom49010,13,24
791,M,2014-01,gsi015,67,6
791,M,2013-01,gsi005,72,0
420,M,2017-02,ggi005,18,14
603,M,2013-02,gsi005,30,30
603,M,2013-01,gsi005,33,8
707,M,2014-02,facom49010,77,2
614,M,2013-02,gsi005,0,58
614,M,2013-01,gsi005,0,58
725,M,2014-02,facom49010,31,16
830,M,2013-01,gsi005,49,10
828,M,2013-01,gsi005,26,48
792,M,2014-01,gsi015,90,2
792,M,2013-01,gsi005,79,4
886,M,2009-01,gem03,78,0
696,M,2014-02,gsi015,60,18
696,M,2014-01,gsi015,46,10
696,M,2013-01,gsi005,60,0
712,F,2014-02,facom49010,39,12
716,M,2014-02,facom49010,85,10
936,F,2009-02,gem03,60,11
722,M,2014-02,facom49010,37,2
425,M,2017-02,ggi005,90,0
723,M,2014-02,facom49010,79,8
452,M,2016-02,ggi017,12,22
708,M,2014-02,facom49010,65,8
719,M,2014-02,facom49010,56,12
717,M,2014-02,facom49010,47,2
441,M,2017-02,ggi005,1,8
834,M,2013-01,gsi005,28,20
412,F,2017-02,ggi017,1,30
412,F,2016-02,ggi017,0,24
429,M,2017-02,ggi005,10,4
835,F,2013-01,gsi005,66,0
820,M,2013-01,gsi005,0,78
442,F,2017-02,ggi005,0,28
424,M,2017-02,ggi005,18,36
808,F,2015-01,gsi015,60,8
808,F,2013-01,gsi005,63,2
720,M,2014-02,facom49010,94,4
817,M,2013-01,gsi005,0,78
793,M,2014-01,gsi015,80,8
793,M,2013-01,gsi005,80,4
431,M,2017-02,ggi005,0,38
419,F,2017-02,ggi005,0,36
432,M,2017-02,ggi005,34,8
728,M,2014-02,facom49010,32,6
729,M,2014-02,facom49010,41,12
718,M,2014-02,facom49010,69,6
699,M,2014-02,gsi015,64,0
699,M,2013-01,gsi005,66,0
724,M,2014-02,facom49010,81,2
843,M,2013-01,gsi005,60,16
414,F,2017-02,ggi017,18,16
414,F,2016-02,ggi017,4,20
427,M,2017-02,ggi005,9,8
454,M,2016-02,ggi017,0,34
417,F,2017-02,ggi005,12,14
822,F,2013-01,gsi005,38,20
965,M,2010-01,inf63,0,10
269,M,2010-02,inf63,60,18
900,M,2009-02,gem03,46,0
501,M,2015-02,gsi015,0,42
903,M,2009-02,gem03,0,0
896,M,2009-02,gem03,9,15
504,M,2015-02,gsi015,0,38
106,F,2016-02,gsi015,3,6
468,F,2015-02,gsi015,61,2
509,M,2015-02,gsi015,0,34
527,F,2015-02,gsi037,82,16
784,M,2014-01,gsi015,0,34
784,M,2013-01,gsi005,26,14
672,M,2012-02,gsi005,70,4
672,M,2014-01,gsi015,79,4
672,M,2013-02,gsi015,2,13
518,M,2015-02,gsi037,92,8
518,M,2014-01,gsi015,80,4
502,M,2015-02,gsi015,88,0
127,M,2016-02,gsi015,37,22
827,F,2013-01,gsi005,56,6
811,M,2015-01,gsi015,38,8
117,F,2016-02,gsi015,3,30
117,F,2015-02,gsi015,9,22
486,F,2015-02,gsi015,66,4
1014,M,2013-02,gsi015,60,2
1009,M,2013-02,gsi015,60,8
536,M,2015-02,gsi037,83,24
680,M,2012-02,gsi005,60,6
680,M,2013-02,gsi015,77,6
661,M,2012-02,gsi005,5,24
678,F,2012-02,gsi005,60,4
678,F,2015-01,gsi015,6,22
678,F,2013-02,gsi015,11,12
609,M,2013-02,gsi005,0,54
609,M,2012-02,gsi005,15,18
276,F,2010-02,inf63,10,23
210,M,2009-01,inf63,60,14
280,M,2010-02,inf63,42,10
94,F,2016-02,gsi015,14,6
476,M,2015-02,gsi015,50,15
679,M,2012-02,gsi005,67,10
679,M,2014-01,gsi015,70,14
679,M,2013-02,gsi015,37,6
664,M,2012-02,gsi005,60,4
694,M,2012-02,gsi005,60,2
694,M,2013-02,gsi015,60,14
676,F,2012-02,gsi005,60,12
659,M,2012-02,gsi005,79,10
657,F,2012-02,gsi005,83,10
657,F,2014-01,gsi015,69,10
657,F,2013-02,gsi015,2,28
682,F,2012-02,gsi005,16,4
667,M,2012-02,gsi005,15,16
282,M,2010-02,inf63,60,12
927,F,2009-02,gem03,78,3
925,F,2009-02,gem03,54,6
907,M,2009-02,gem03,51,3
508,M,2015-02,gsi015,66,2
123,M,2016-02,gsi015,17,16
924,F,2009-02,gem03,65,3
85,F,2016-02,gsi015,0,12
685,F,2012-02,gsi005,23,12
685,F,2014-01,gsi015,0,38
685,F,2013-01,gsi005,25,18
666,F,2012-02,gsi005,18,14
666,F,2015-01,gsi015,70,6
666,F,2013-02,gsi015,7,10
669,M,2012-02,gsi005,61,4
669,M,2013-02,gsi015,69,10
517,M,2015-02,gsi037,37,28
845,F,2013-01,gsi015,32,38
692,F,2012-02,gsi005,24,6
692,F,2013-01,gsi005,18,68
668,M,2012-02,gsi005,31,0
986,M,2010-01,gsi014,87,8
985,M,2010-01,gsi014,75,4
31,M,2011-01,gsi014,25,4
31,M,2010-02,inf63,3,14
31,M,2011-02,gsi014,60,10
29,M,2011-01,gsi014,23,0
29,M,2010-02,inf63,12,8
29,M,2011-02,gsi014,22,22
25,M,2011-01,gsi014,60,0
25,M,2010-02,inf63,28,11
183,M,2009-01,inf63,41,4
183,M,2009-02,inf63,73,10
532,M,2015-02,gsi037,71,4
697,M,2014-02,gsi015,81,8
535,M,2015-02,gsi037,80,5
638,M,2011-02,gsi005,60,12
638,M,2013-02,gsi015,60,4
370,M,2012-02,gsi015,8,18
627,M,2011-02,gsi005,26,22
514,M,2015-02,gsi037,72,14
352,F,2012-02,gsi015,0,72
135,M,2009-01,inf63,29,0
135,M,2009-02,inf63,1,2
474,F,2015-02,gsi015,7,14
994,M,2010-01,gsi014,33,2
993,M,2010-01,gsi014,95,0
898,M,2009-02,gem03,0,11
992,F,2010-01,gsi014,60,10
293,M,2010-02,inf63,60,2
293,M,2010-01,gsi014,35,2
46,M,2011-01,gsi014,39,2
46,M,2010-02,inf63,31,2
41,F,2011-01,gsi014,25,26
41,F,2010-02,inf63,15,10
41,F,2010-01,gsi014,2,16
990,M,2010-01,gsi014,90,0
45,M,2011-01,gsi014,30,4
45,M,2010-02,inf63,2,6
45,M,2011-02,gsi014,18,26
892,M,2009-02,gem03,60,0
910,M,2009-02,gem03,60,0
991,M,2010-01,gsi014,91,2
214,F,2011-01,facom49010,43,1
915,M,2009-02,gem03,80,3
891,F,2009-02,gem03,55,4
913,M,2009-02,gem03,77,2
914,F,2009-02,gem03,65,7
218,M,2011-01,facom49010,98,0
217,M,2011-01,facom49010,71,4
216,F,2011-01,facom49010,52,5
215,M,2011-01,facom49010,94,0
223,M,2011-01,facom49010,93,3
222,M,2011-01,facom49010,94,3
221,M,2011-01,facom49010,96,0
219,M,2011-01,facom49010,30,13
909,M,2009-02,gem03,88,0
988,M,2010-01,gsi014,50,12
292,M,2010-02,inf63,37,6
292,M,2010-01,gsi014,21,4
912,M,2009-02,gem03,87,0
905,M,2009-02,gem03,62,2
908,M,2009-02,gem03,91,3
989,M,2010-01,gsi014,79,14
34,M,2011-01,gsi014,31,2
34,M,2010-02,inf63,3,0
987,M,2010-01,gsi014,72,0
632,M,2011-02,gsi005,44,16
287,M,2010-02,inf63,64,2
287,M,2010-01,gsi014,50,6
