age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,X,Y
18,4,4,2,2,0,4,3,4,1,1,3,6,5,6,6,-5.0029344701396266,17.99614872522541
17,1,1,1,2,0,5,3,3,1,1,3,4,5,5,6,-1.6755292671316533,20.310505606586577
15,1,1,1,2,3,4,3,2,2,3,3,10,7,8,10,-7.5652397708540935,11.535426028418675
15,4,2,1,3,0,3,2,2,1,1,5,2,15,14,15,9.290659180838254,-13.142217299450964
16,3,3,1,2,0,4,3,2,1,2,5,4,6,10,10,2.942642644930171,9.431981461330015
16,4,3,1,2,0,5,4,2,1,2,5,10,15,15,15,-2.486603932724649,-12.871162144943822
16,2,2,1,2,0,4,4,4,1,1,3,0,12,12,11,11.56992809574101,1.9166480535809318
17,4,4,2,2,0,4,1,4,1,1,1,6,6,5,6,-3.740526298116742,19.791607955675257
15,3,2,1,2,0,4,2,2,1,1,1,0,16,18,19,13.227238068393493,-18.11364286421302
15,3,4,1,2,0,5,5,1,1,1,5,0,14,15,15,16.28430898430906,-8.68633605161363
15,4,4,1,2,0,3,3,3,1,2,2,0,10,8,9,11.270448954518482,9.06137326830484
15,2,1,3,3,0,5,2,2,1,1,4,4,10,12,12,7.996221313570361,3.816905351561514
15,4,4,1,1,0,4,3,3,1,3,5,2,14,14,14,9.162714942779743,-7.343569432328184
15,4,3,2,2,0,5,4,3,1,2,3,2,10,10,11,8.020162748586849,6.907238840631196
15,2,2,1,3,0,4,5,2,1,1,3,0,14,16,16,15.906414408392285,-11.54113765538148
16,4,4,1,1,0,4,4,4,1,2,2,4,14,14,14,7.697169849442734,-7.523901924792282
16,4,4,1,3,0,3,2,3,1,2,2,6,13,14,14,5.136266579783969,-6.968555942805624
16,3,3,3,2,0,5,3,2,1,1,4,4,8,10,10,4.029318187737102,8.54947789442498
17,3,2,1,1,3,5,5,5,2,4,5,16,6,5,5,-23.17760152672938,12.601354353496166
16,4,3,1,1,0,3,1,3,1,3,5,4,8,10,10,2.3071982951019123,10.112331701588248
15,4,3,1,2,0,4,4,1,1,1,1,0,13,14,15,15.343834186859862,-7.205678699754531
