age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,X,Y
18,4,4,2,2,0,4,3,4,1,1,3,4,0,11,11,10.166362715503261,-11.59912004179912
17,1,1,1,2,0,5,3,3,1,1,3,2,9,11,11,-0.6772971168351559,-6.012366180197177
15,1,1,1,2,0,4,3,2,2,3,3,6,12,13,12,2.3307976006021276,3.5721854978953864
15,4,2,1,3,0,3,2,2,1,1,5,0,14,14,14,-9.932307976765527,0.46108021511002495
16,3,3,1,2,0,4,3,2,1,2,5,0,11,13,13,-5.65405883306286,-3.652497533793122
16,4,3,1,2,0,5,4,2,1,2,5,6,12,12,13,0.12280071533322887,3.3004438924247386
16,2,2,1,2,0,4,4,4,1,1,3,0,13,12,13,-8.118521751999618,-2.606611771735326
17,4,4,2,2,0,4,1,4,1,1,1,2,10,13,13,-2.3797462691477245,-1.2246974519755098
15,3,2,1,2,0,4,2,2,1,1,1,0,15,16,17,-14.902492621459913,4.723437971896543
15,3,4,1,2,0,5,5,1,1,1,5,0,12,12,13,-6.854096546091156,-3.236749856970282
15,4,4,1,2,0,3,3,3,1,2,2,2,14,14,14,-7.950503786898875,5.25317248892464
15,2,1,3,3,0,5,2,2,1,1,4,0,10,12,13,-7.100962222867551,-5.31173769770805
15,4,4,1,1,0,4,3,3,1,3,5,0,12,13,12,-5.361034011063046,-3.8357486125593905
15,4,3,2,2,0,5,4,3,1,2,3,0,12,12,13,-6.143615356968163,-1.8584439561404043
15,2,2,1,3,0,4,5,2,1,1,3,0,14,14,15,-11.318030444517065,-1.230644130973934
16,4,4,1,1,0,4,4,4,1,2,2,6,17,17,17,-7.61870354488423,17.19458386140546
16,4,4,1,3,0,3,2,3,1,2,2,10,13,13,14,5.57817632207255,11.563374837147668
16,3,3,3,2,0,5,3,2,1,1,4,2,13,14,14,-6.83806967049523,2.697585459005857
17,3,2,1,1,3,5,5,5,2,4,5,2,8,8,7,8.568125946781496,-12.63984992864734
16,4,3,1,1,0,3,1,3,1,3,5,6,12,12,12,5.580287116772073,1.5182822989814755
15,4,3,1,2,0,4,4,1,1,1,1,0,12,13,14,-9.675402223778676,-1.4840586161860332
15,4,4,1,1,0,5,4,2,1,1,5,0,11,12,12,-6.3299944165558095,-4.090921168203464
16,4,2,1,2,0,4,5,1,1,3,5,0,12,13,14,-7.566958821006047,-2.0013059012509125
16,2,2,2,2,0,5,4,4,2,4,5,2,10,10,10,4.274756423931803,-7.141105334118207
15,2,4,1,3,0,4,3,2,1,1,5,2,10,11,10,-1.3987225986788372,-3.907891129756231
16,2,2,1,1,0,1,2,2,1,3,5,6,10,11,12,6.974664760666187,0.8275849906155296
15,2,2,1,1,0,4,2,2,1,2,5,8,11,12,12,7.454279808434911,5.506817634541463
15,4,2,1,1,0,2,2,4,2,4,1,0,11,11,11,-7.951910779335994,-7.625875948290883
16,3,4,1,2,0,5,3,3,1,1,5,2,12,12,13,-4.4751455243790765,-0.0839651226023604
16,4,4,1,2,0,4,4,5,5,5,5,4,12,11,12,3.2429909339504914,-3.1178877397663345
