StudentID,Sex,Date,Subject,Grade,Attendence,pred_grade
173,M,2009-01,inf63,38,4,57.8205460625901
173,M,2009-02,inf63,97,6,49.16308781137546
312,M,2010-02,inf63,45,4,57.8205460625901
889,M,2009-02,gem03,0,0,60.08045323548604
890,F,2009-02,gem03,88,3,63.2926997194412
405,F,2017-02,ggi017,3,34,8.312685786435786
304,M,2010-02,inf63,41,0,60.08045323548604
595,M,2013-02,gsi005,41,0,60.08045323548604
595,M,2013-01,gsi005,20,2,56.44101846975955
80,M,2011-01,gsi014,22,8,49.73118208489337
80,M,2010-02,inf63,40,8,49.73118208489337
80,M,2011-02,gsi014,77,14,39.286198151055295
520,M,2015-02,gsi037,0,60,0.0
249,M,2011-01,facom49010,89,7,71.137673992674
315,M,2010-02,inf63,60,2,56.44101846975955
247,F,2011-01,facom49010,63,3,63.2926997194412
245,M,2011-01,facom49010,0,37,2.040714285714286
232,M,2011-01,facom49010,97,0,60.08045323548604
313,M,2010-02,inf63,0,22,12.690305250305249
233,M,2011-01,facom49010,93,0,60.08045323548604
253,M,2011-01,facom49010,82,0,60.08045323548604
252,M,2011-01,facom49010,96,4,57.8205460625901
1012,M,2013-02,gsi015,9,36,4.983174603174602
237,M,2011-01,facom49010,90,1,74.48540764790764
236,M,2011-01,facom49010,70,1,74.48540764790764
309,M,2010-02,inf63,60,2,56.44101846975955
795,M,2014-01,gsi015,70,6,49.16308781137546
795,M,2013-01,gsi005,74,0,60.08045323548604
308,M,2010-02,inf63,60,4,57.8205460625901
829,M,2013-01,gsi005,6,30,8.961982461982462
703,M,2014-02,gsi015,60,4,57.8205460625901
703,M,2013-01,gsi005,60,2,56.44101846975955
226,M,2011-01,facom49010,40,2,56.44101846975955
225,M,2011-01,facom49010,75,0,60.08045323548604
224,M,2011-01,facom49010,84,0,60.08045323548604
339,M,2011-02,gsi014,40,6,49.16308781137546
65,M,2011-01,gsi014,50,0,60.08045323548604
161,M,2009-01,inf63,68,0,60.08045323548604
228,M,2011-01,facom49010,98,0,60.08045323548604
227,M,2011-01,facom49010,69,0,60.08045323548604
498,M,2015-02,gsi015,74,10,48.77984440629432
498,M,2015-01,gsi015,50,4,57.8205460625901
498,M,2013-01,gsi005,60,2,56.44101846975955
538,M,2015-02,gsi037,84,4,57.8205460625901
231,M,2011-01,facom49010,85,2,56.44101846975955
818,M,2013-01,gsi005,67,6,49.16308781137546
230,M,2011-01,facom49010,82,0,60.08045323548604
500,M,2015-02,gsi015,60,14,39.286198151055295
500,M,2015-01,gsi015,43,8,49.73118208489337
500,M,2013-01,gsi005,60,2,56.44101846975955
229,M,2011-01,facom49010,95,1,74.48540764790764
310,M,2010-02,inf63,60,4,57.8205460625901
840,M,2013-01,gsi005,0,38,5.790912092293672
212,M,2011-01,facom49010,60,4,57.8205460625901
824,M,2013-01,gsi005,60,4,57.8205460625901
837,M,2013-01,gsi005,36,2,56.44101846975955
235,M,2011-01,facom49010,60,0,60.08045323548604
234,M,2011-01,facom49010,3,13,15.394927536231885
220,M,2011-01,facom49010,26,12,40.342442718101715
213,F,2011-01,facom49010,33,0,60.08045323548604
250,M,2011-01,facom49010,33,0,60.08045323548604
436,M,2017-02,ggi005,10,26,21.692178932178933
805,M,2014-01,gsi015,81,4,57.8205460625901
805,M,2013-01,gsi005,70,0,60.08045323548604
246,M,2011-01,facom49010,90,0,60.08045323548604
443,M,2017-02,ggi005,19,22,12.690305250305249
616,M,2013-02,gsi005,29,4,57.8205460625901
616,M,2013-01,gsi005,40,12,40.342442718101715
244,M,2011-01,facom49010,47,4,57.8205460625901
832,F,2013-01,gsi005,29,10,48.77984440629432
243,M,2011-01,facom49010,61,4,57.8205460625901
807,M,2014-01,gsi015,76,0,60.08045323548604
807,M,2013-01,gsi005,71,2,56.44101846975955
702,M,2014-02,gsi015,81,2,56.44101846975955
702,M,2013-01,gsi005,60,4,57.8205460625901
800,M,2014-01,gsi015,14,10,48.77984440629432
800,M,2015-01,gsi015,60,10,48.77984440629432
800,M,2013-01,gsi005,60,8,49.73118208489337
510,M,2015-02,gsi015,0,46,20.961904761904762
510,M,2013-01,gsi005,38,16,35.99238231499857
