id,value,color
Subject,
Subject.gem03,
Subject.gem03.Male,52.5,#808080
Subject.gem03.Female,58,#80A0A0
Subject.gsi014
Subject.gsi014.Male,39,#808080
Subject.gsi014.Female,35.83,#80A0A0
Subject.gsi015,
Subject.gsi015.Male,34.51,#808080
Subject.gsi015.Female,22.63,#80A0A0
Subject.inf63,
Subject.inf63.Male,41.4,#808080
Subject.inf63.Female,36.85,#80A0A0
Subject.facom49010,
Subject.facom49010.Male,30.4,#808080
Subject.facom49010.Female,21.13,#80A0A0
Subject.ggi017,
Subject.ggi017.Male,16.03,#808080
Subject.ggi017.Female,9.52,#80A0A0
Subject.ggi005,
Subject.ggi005.Male,11.24,#808080
Subject.ggi005.Female,7.1,#80A0A0
Subject.gsi037,
Subject.gsi037.Male,33.45,#808080
Subject.gsi037.Female,36.85,#80A0A0
Subject.gfm015,
Subject.gfm015.Male,24.35,#808080
Subject.gfm015.Female,13.5,#80A0A0
Subject.gsi005,
Subject.gsi005.Male,24.26,#808080
Subject.gsi005.Female,19.05,#80A0A0
