id,value,color
Subject,
Subject.gem03,
Subject.gem03.Male,51,#808080
Subject.gem03.Female,54,#80A0A0
Subject.gsi014,
Subject.gsi014.Male,38,#808080
Subject.gsi014.Female,28,#80A0A0
Subject.gsi015,
Subject.gsi015.Male,48,#808080
Subject.gsi015.Female3,85,#80A0A0
Subject.inf63,
Subject.inf63.Male,46,#808080
Subject.inf63.Female,47,#80A0A0
Subject.facom49010,
Subject.facom49010.Male,59,#808080
Subject.facom49010.Female,63,#80A0A0
Subject.ggi017,
Subject.ggi017.Male,57,#808080
Subject.ggi017.Female,49,#80A0A0
Subject.ggi005,
Subject.ggi005.Male,62,#808080
Subject.ggi005.Female,55,#80A0A0
Subject.gsi037,
Subject.gsi037.Male,94,#808080
Subject.gsi037.Female,71,#80A0A0
Subject.gfm015,
Subject.gfm015.Male,12,#808080
Subject.gfm015.Female,22,#80A0A0
Subject.gsi005,
Subject.gsi005.Male,9,#808080
Subject.gsi005.Female,6,#80A0A0
