StudentID,grades,sex
657,69,F
685,0,F
628,13,F
647,67,F
780,7,F
783,60,F
695,0,F
779,91,F
790,74,F
655,0,F
795,70,M
805,81,M
807,76,M
800,14,M
794,85,M
785,28,M
796,83,M
802,87,M
787,0,M
797,86,M
789,0,M
806,71,M
791,67,M
792,90,M
696,46,M
793,80,M
784,0,M
672,79,M
518,80,M
679,70,M
371,12,M
639,0,M
630,60,M
786,14,M
801,0,M
782,68,M
798,96,M
803,88,M
382,0,M
333,61,M
788,16,M
804,61,M
781,49,M
575,0,M
706,1,M
597,0,M
799,60,M
499,2,M
671,76,M
651,4,M
650,70,M
663,72,M
653,0,M
662,64,M
492,0,M
484,5,M
