day	hour	value
1	1	65
1	2	38
1	3   45
1	4	50
1	5	100
1	6	30
1	7   62
1	8	28
1	9	25
2	1	16
2	2	38
2	3	46
2	4	0
2	5	90
2	6	50
2	7	44
2	8	11
2	9	28
3	1	39
3	2	76
3	3	73
3	4	23
3	5	12
3	6	49
3	7	55
3	8	21
3	9	34
4	1	40
4	2	0
4	3	32
4	4	83
4	5	100
4	6	25
4	7	42
4	8	13
4	9	26
5	1	87
5	2	75
5	3	64
5	4	66
5	5	55
5	6	41
5	7	19
5	8	14
5	9	31
6	1	26
6	2	0
6	3	92
6	4	88
6	5	23
6	6	21
6	7	43
6	8	89
6	9	83
7	1	71
7	2	68
7	3	20
7	4	21
7	5	40
7	6	0
7	7	32
7	8	0
7	9	67
8   1   78
8	2	23
8	3	18
8	4	59
8	5	64
8	6	0
8	7	43
8	8	80
8	9	50
9	1	19
9	2	65
9	3	88
9	4	37
9	5	13
9	6	0
9	7	32
9	8	0
9	9	67
10  1   83
10	2	29
10	3	23
10	4	5
10	5	6
10	6	0
10	7	4
10	8	80
10	9	50
